District,Year,soil_moisture,clay_0-30cm_mean_(%),sand_0-30cm_mean_(%),silt_0-30cm_mean_(%),soc_0-30cm_mean_(g/kg),bdod_0-30cm_mean_(g/cm³),cec_0-30cm_mean_(meq/100g),phh2o_0-30cm_mean_(pH),nitrogen_0-30cm_mean_(mg/kg),All Sky Longwave Down (W/m²),Cloud Coverage (%),Surface Pressure (kPa),Relative Humidity (%),Average Temperature (°C),Max Temperature (°C),Min Temperature (°C),Monthly Rainfall (mm),Area('000 acres),Yield(tonnes_per_acre),UREA,NP,MAP,SSP,SOP,MOP,AS,NPKs,25th_Percentile-(May),75th_Percentile-(May),IQR-(May),Kurtosis-(May),Max_NDVI-(May),Mean_NDVI-(May),Median_NDVI-(May),Skewness-(May),Std_NDVI-(May),Variance-(May)
muzaffargarh,2001,0.087778923,22.83340907,42.33163522,34.83483987,6.38012474,1.494055078,14.84178225,7.492060066,82.22149655,29.24714286,27.18285714,99.64857143,25.51714286,22.85142857,36.55857143,10.58571429,9.387142857,711.0,0.990154712,585.8000000000002,371.57777777777767,206.9692907938558,18.12422751919408,851.6440627935926,0.0,134.65605385314907,452.0723400331832,0.1169,0.1934,0.0764,2.7265,0.571,0.1586,0.1562,0.5269,0.0689,0.0048
nankana sahib,2001,0.178710944,19.97827172,34.01520297,46.00647979,8.701091539,1.518841192,12.43120441,7.720458023,80.10548915,29.22857143,34.91142857,98.74142857,27.25714286,21.90571429,35.73428571,9.294285714,13.39571429,454.0,1.112055202,585.7999999999997,371.57777777777767,420.58882145325913,127.5670755298749,83.54536670707225,271.22990553040245,69.08039498393046,114.22869393052125,0.1806,0.26,0.0794,0.8927,0.5687,0.2241,0.2188,0.7011,0.0576,0.0033
narowal,2001,0.230324036,25.45529094,35.33818921,39.2066029,8.227725798,1.530096339,16.03339229,7.358177714,123.0161334,28.81285714,38.55,98.18857143,25.71285714,21.90714286,35.24285714,10.97428571,12.83571429,323.0,0.622291022,585.8000000000001,371.5777777777778,196.11650949312,248.48128342245988,91.71922688972684,270.2564275130646,33.03244188499799,500.1890879120479,0.1833,0.2329,0.0495,2.6958,0.5153,0.2125,0.2045,1.2259,0.0438,0.0019
okara,2001,0.17118845,21.72739446,37.03793735,41.23467328,8.247179716,1.53423889,13.60017411,7.617680489,85.09235793,29.26857143,29.87142857,99.04714286,26.99142857,22.21428571,35.96857143,9.622857143,13.43,568.0,1.357394366,585.8,371.5777777777778,197.08170603406657,248.48128342245988,372.53276374942095,280.7856022267802,109.4117943863446,281.5879497226858,0.1947,0.2546,0.0598,3.0449,0.5652,0.2301,0.2209,1.2926,0.0542,0.0029
pakpattan,2001,0.155390857,22.75436488,42.98412167,34.26151316,7.85615721,1.488206282,15.38696311,7.458479404,86.47478949,29.26857143,29.87142857,99.16857143,25.44857143,22.65142857,36.53857143,10.21571429,9.03,391.0,1.488491049,585.8000000000001,371.5777777777778,572.7814798166653,18.12422751919408,687.2052853433327,284.1220000154634,290.8402973806124,234.15321199947533,0.1559,0.2064,0.0505,6.3581,0.574,0.1898,0.1772,2.0823,0.0552,0.003
rahim yar khan,2001,0.07906209,23.5618907,45.41603829,31.02210557,6.662394545,1.488313127,14.61827705,7.53167932,76.73249437,29.51142857,38.01857936508889,99.95714286,21.49571429,24.38714286,37.53428571,12.02285714,3.751428571,804.0,0.967661692,585.8,371.5777777777778,187.8369560527655,335.7381863046286,456.4870392641208,281.514760922522,252.2869673065021,411.93,0.1448,0.1861,0.0413,5.3563,0.5487,0.1687,0.1632,1.4802,0.0361,0.0013
rajanpur,2001,0.094385063,24.06423753,41.39001552,34.54579882,6.459094751,1.487643038,15.59975532,7.708249033,81.59696618,29.19714286,22.91714286,99.91857143,22.26571429,23.84571429,37.31571429,11.46857143,5.278571429,359.0,0.91643454,585.8000000000001,371.57777777777767,35.85138974989627,446.7664055938294,0.0,75.91900602585167,131.15469621360296,152.54653408179112,0.1101,0.1718,0.0618,1.5738,0.4879,0.1402,0.1408,-0.0673,0.051,0.0026
rawalpindi,2001,0.290129614,21.43771641,18.54535546,60.01706426,8.916800462,1.519756409,15.57050005,7.0,99.29446296,28.08,38.71571429,96.93410713375,26.11571429,19.77142857,33.06285714,7.88,14.88,282.0,0.25177305,585.8,371.57777777777767,315.54037267080736,290.2172852953002,207.2044706074113,235.959062115924,0.0,94.43220689807836,0.1606,0.2201,0.0595,3.4676,0.4964,0.1947,0.1852,1.4249,0.0473,0.0022
sahiwal,2001,0.164221868,23.34293038,40.87749912,35.77950069,8.067043545,1.512581684,14.54219032,7.520981114,86.83327211,29.26857143,29.87142857,99.16857143,25.44857143,22.65142857,36.53857143,10.21571429,9.03,364.0,1.258241758,585.8000000000002,371.5777777777777,572.7814798166653,416.9232347501612,255.39356463919225,224.2361986725726,418.56498575681815,423.0167877591299,0.1847,0.2596,0.0749,2.2039,0.5652,0.2305,0.2152,1.3464,0.0663,0.0044
sargodha,2001,0.185504537,23.32559565,29.07106301,47.60341272,8.149213029,1.517599389,11.82999451,7.710870947,77.6280688,28.13428571,35.12,98.95571429,29.75714286,21.65,34.97857143,9.32,24.10428571,472.0,1.008474576,585.8000000000001,371.5777777777777,461.361822017932,148.51391631918875,325.8729381640271,635.3321734381334,196.34472893358023,495.5570521104968,0.1863,0.2557,0.0694,0.8393,0.5041,0.2237,0.2184,0.5461,0.053,0.0028
sheikhupura,2001,0.190429276,25.48146294,27.48142676,47.03731938,8.255936419,1.523007811,13.0947961,8.0,81.47574095,29.22857143,34.91142857,98.74142857,27.25714286,21.90571429,35.73428571,9.294285714,13.39571429,740.0,1.191891892,585.8,371.5777777777778,510.4614022803763,149.0,190.02124951409533,77.0,203.28318580604264,376.7368748242638,0.1701,0.2215,0.0514,3.7785,0.5384,0.2007,0.1929,1.4334,0.0472,0.0022
